FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-08-10,2677,2217.9499753295486,459.0500246704514,2178.8153429611575,498.1846570388425
2024-08-11,2542,2228.973952876392,313.0260471236079,2199.8271319792243,342.1728680207757
2024-08-12,2890,2239.9979304232356,650.0020695767644,2220.9645538459863,669.0354461540137
2024-08-13,2539,2251.0219079700782,287.97809202992175,2242.227608561443,296.77239143855695
2024-08-14,2218,2262.0458855169218,44.04588551692177,2263.6162961255945,45.616296125594545
2024-08-15,2480,2273.0698630637653,206.9301369362347,2285.1306165384403,194.86938346155966
2024-08-16,2476,2284.093840610609,191.90615938939118,2306.770569799981,169.22943020001912
2024-08-17,2636,2295.1178181574523,340.88218184254765,2328.536155910216,307.46384408978383
2024-08-18,3094,2306.141795704296,787.8582042957041,2350.4273748691458,743.5726251308542
2024-08-19,3417,2317.1657732511394,1099.8342267488606,2372.44422667677,1044.55577332323
2024-08-20,3084,2328.189750797982,755.810249202018,2394.5867113330896,689.4132886669104
2024-08-21,2636,2339.2137283448255,296.78627165517446,2416.854828838103,219.145171161897
2024-08-22,2660,2350.237705891669,309.76229410833093,2439.2485791918116,220.7514208081884
2024-08-23,2846,2361.2616834385126,484.7383165614874,2461.7679623942145,384.23203760578554
2024-08-24,3177,2372.285660985356,804.7143390146439,2484.4129784453125,692.5870215546875
2024-08-25,3791,2383.3096385321996,1407.6903614678004,2507.1836273451045,1283.8163726548955
2024-08-26,3936,2394.333616079043,1541.6663839209568,2530.0799090935916,1405.9200909064084
2024-08-27,3448,2405.357593625886,1042.6424063741142,2553.101823690773,894.898176309227
2024-08-28,3278,2416.3815711727293,861.6184288272707,2576.2493711366496,701.7506288633504
2024-08-29,2980,2427.405548719573,552.5944512804272,2599.5225514312206,380.47744856877944
2024-08-30,3207,2438.4295262664164,768.5704737335836,2622.921364574486,584.0786354255142
2024-08-31,3352,2449.45350381326,902.5464961867401,2646.445810566446,705.5541894335538
2024-09-01,4274,2460.4774813601034,1813.5225186398966,2670.095889407101,1603.904110592899
2024-09-02,3986,2471.501458906947,1514.498541093053,2693.87160109645,1292.12839890355
2024-09-03,3518,2482.5254364537896,1035.4745635462104,2717.772945634494,800.2270543655059
2024-09-04,3242,2493.549414000633,748.4505859993669,2741.799923021233,500.2000769787669
